NODE SIZE: 100
100.0	100.55	89.75	101.54	
100.0	97.89	91.01	98.7	
100.0	96.75	87.39	97.23	
100.0	97.38	87.58	97.33	
100.0	96.23	86.32	96.19	
100.0	95.24	85.52	95.55	
100.0	94.85	85.74	95.6	
100.0	93.75	86.3	95.14	
100.0	97.3	94.78	99.23	


NODE SIZE: 200
100.0	104.06	96.5	105.27	
100.0	102.22	93.05	102.53	
100.0	101.33	91.44	100.57	
100.0	100.51	90.45	99.25	
100.0	99.54	89.84	98.3	
100.0	99.01	89.68	97.65	
100.0	98.15	87.56	96.7	
100.0	97.19	84.01	95.95	
100.0	96.63	89.17	98.06	


NODE SIZE: 300
100.0	106.27	102.1	109.36	
100.0	104.47	98.21	105.53	
100.0	102.95	95.57	102.32	
100.0	102.04	94.26	100.73	
100.0	101.25	93.59	99.64	
100.0	100.81	93.0	98.82	
100.0	99.99	91.37	97.82	
100.0	99.25	87.12	96.62	
100.0	97.51	86.53	97.43	


NODE SIZE: 400
100.0	106.92	103.96	111.45	
100.0	105.07	100.19	106.57	
100.0	104.17	97.97	103.2	
100.0	103.07	96.8	101.58	
100.0	102.32	95.94	100.74	
100.0	101.62	95.28	99.7	
100.0	100.9	94.08	98.82	
100.0	100.06	89.4	97.17	
100.0	98.36	85.19	97.13	


NODE SIZE: 500
100.0	107.43	105.86	111.81	
100.0	105.87	101.69	106.43	
100.0	104.54	99.37	103.8	
100.0	103.59	98.0	102.14	
100.0	102.88	97.56	101.19	
100.0	102.29	96.74	100.16	
100.0	101.55	95.36	98.98	
100.0	100.83	91.91	97.63	
100.0	99.02	84.04	96.77	


